index,Name,original,type,replacement,max distance,min distance,mean,std
0,V5,black,hair,green,22.955,8.427,14.116,2.832
1,V5,black,hair,red,32.463,12.352,19.606,5.117
2,V5,black,hair,white,28.468,7.646,17.015,4.83
3,V5,black,hair,yellow,41.238,22.792,29.363,3.557
4,V5,black,hair,blue,18.545,6.466,11.064,2.458
5,V5,blue,hair,green,20.003,10.801,14.995,2.362
6,V5,blue,hair,red,26.962,8.945,18.37,4.163
7,V5,blue,hair,white,15.4,4.99,9.442,2.479
8,V5,blue,hair,yellow,30.913,17.522,24.979,3.253
9,V5,blue,hair,black,26.026,18.182,21.724,1.67
10,V5,green,hair,red,32.672,12.546,18.933,3.6
11,V5,green,hair,white,25.672,9.755,15.309,3.878
12,V5,green,hair,yellow,37.852,20.889,28.517,3.316
13,V5,green,hair,black,24.525,13.568,19.934,2.227
14,V5,green,hair,blue,18.694,9.707,14.296,1.883
15,V5,red,hair,green,22.916,12.173,17.983,2.659
16,V5,red,hair,white,19.38,5.909,10.426,3.53
17,V5,red,hair,yellow,31.396,13.661,22.805,3.118
18,V5,red,hair,black,28.129,18.756,24.353,1.939
19,V5,red,hair,blue,22.008,12.356,16.921,2.304
20,V5,white,hair,green,24.795,12.425,18.542,2.586
21,V5,white,hair,red,23.024,10.654,15.591,2.892
22,V5,white,hair,yellow,30.483,21.28,24.712,1.789
23,V5,white,hair,black,27.902,12.965,21.978,3.699
24,V5,white,hair,blue,18.269,7.749,13.06,2.587
25,V5,yellow,hair,green,26.39,12.985,19.016,2.898
26,V5,yellow,hair,red,20.605,8.598,13.115,2.845
27,V5,yellow,hair,white,11.506,6.109,7.93,1.14
28,V5,yellow,hair,black,29.094,17.694,23.748,2.606
29,V5,yellow,hair,blue,20.326,7.944,15.212,2.291
30,V5,dog,cat,cat,46.515,18.959,31.479,7.284
31,V5,cat,dog,dog,49.544,9.245,25.882,8.564
32,V4.5,black,hair,green,21.793,9.227,13.651,2.416
33,V4.5,black,hair,red,31.437,11.666,19.471,4.756
34,V4.5,black,hair,white,30.373,8.811,16.274,4.213
35,V4.5,black,hair,yellow,37.544,23.202,30.329,3.661
36,V4.5,black,hair,blue,15.1,6.757,10.865,2.012
37,V4.5,blue,hair,green,22.071,10.459,14.269,2.146
38,V4.5,blue,hair,red,25.186,11.331,17.993,3.917
39,V4.5,blue,hair,white,19.799,5.401,9.725,2.878
40,V4.5,blue,hair,yellow,37.307,17.089,27.486,3.721
41,V4.5,blue,hair,black,29.462,17.608,22.425,2.353
42,V4.5,green,hair,red,31.958,10.839,21.398,4.817
43,V4.5,green,hair,white,20.978,6.729,14.903,3.579
44,V4.5,green,hair,yellow,36.613,23.374,29.468,2.889
45,V4.5,green,hair,black,29.647,11.451,20.124,3.659
46,V4.5,green,hair,blue,18.99,8.834,14.154,1.825
47,V4.5,red,hair,green,26.652,11.857,19.236,3.014
48,V4.5,red,hair,white,19.026,5.997,9.502,2.68
49,V4.5,red,hair,yellow,36.535,17.812,24.192,4.317
50,V4.5,red,hair,black,31.082,20.455,25.393,2.395
51,V4.5,red,hair,blue,22.155,12.096,17.22,2.31
52,V4.5,white,hair,green,25.148,13.989,19.042,2.474
53,V4.5,white,hair,red,23.716,11.679,16.804,2.824
54,V4.5,white,hair,yellow,31.456,19.381,25.425,2.344
55,V4.5,white,hair,black,29.094,12.192,22.353,4.007
56,V4.5,white,hair,blue,17.931,7.498,13.514,2.421
57,V4.5,yellow,hair,green,27.479,12.039,18.944,3.135
58,V4.5,yellow,hair,red,18.697,9.285,13.843,2.705
59,V4.5,yellow,hair,white,15.197,6.109,8.243,1.985
60,V4.5,yellow,hair,black,32.896,12.026,24.479,3.738
61,V4.5,yellow,hair,blue,23.003,8.404,15.639,2.7
62,V4.5,dog,cat,cat,46.515,18.959,29.813,6.584
63,V4.5,cat,dog,dog,40.0,9.245,23.756,7.098
64,baseline,black,hair,green,29.784,9.905,16.566,4.116
65,baseline,black,hair,red,30.186,13.366,19.314,3.138
66,baseline,black,hair,white,29.023,8.96,12.656,3.395
67,baseline,black,hair,yellow,38.148,20.506,28.459,3.704
68,baseline,black,hair,blue,18.545,6.726,12.126,2.085
69,baseline,blue,hair,green,24.703,9.905,17.361,3.019
70,baseline,blue,hair,red,27.379,11.702,17.365,3.432
71,baseline,blue,hair,white,19.898,6.158,10.05,3.353
72,baseline,blue,hair,yellow,47.543,19.259,28.058,5.046
73,baseline,blue,hair,black,24.795,14.227,20.396,2.574
74,baseline,green,hair,red,34.249,16.94,23.829,4.241
75,baseline,green,hair,white,28.683,8.218,14.0,4.2
76,baseline,green,hair,yellow,39.831,22.457,30.447,4.497
77,baseline,green,hair,black,32.576,15.306,22.773,3.159
78,baseline,green,hair,blue,30.271,8.561,14.324,3.114
79,baseline,red,hair,green,31.518,13.05,21.835,4.619
80,baseline,red,hair,white,21.297,4.966,10.558,4.005
81,baseline,red,hair,yellow,43.974,20.506,29.02,4.717
82,baseline,red,hair,black,32.928,18.849,25.174,2.786
83,baseline,red,hair,blue,22.168,13.353,17.012,2.078
84,baseline,white,hair,green,34.368,17.092,22.535,3.528
85,baseline,white,hair,red,33.016,12.726,19.981,3.976
86,baseline,white,hair,yellow,32.321,19.62,26.24,2.427
87,baseline,white,hair,black,29.091,14.297,24.431,3.374
88,baseline,white,hair,blue,18.856,7.634,14.532,1.977
89,baseline,yellow,hair,green,28.228,14.672,20.265,3.477
90,baseline,yellow,hair,red,27.784,11.53,18.005,3.717
91,baseline,yellow,hair,white,16.95,6.632,11.206,2.531
92,baseline,yellow,hair,black,33.083,18.68,24.459,3.232
93,baseline,yellow,hair,blue,27.289,10.065,15.489,3.272
94,baseline,dog,cat,cat,50.718,16.077,32.647,8.039
95,baseline,cat,dog,dog,40.0,9.245,23.973,6.946
